unix,date,open,high,low,close,volume_base
1577871000,2020-01-01 09:30:00,7197.25,7204.0,7188.0,7188.77,288.702063
1577872800,2020-01-01 10:00:00,7189.07,7206.78,7185.2,7205.95,311.984043
1577874600,2020-01-01 10:30:00,7205.95,7210.0,7197.99,7202.0,225.778761
1577876400,2020-01-01 11:00:00,7202.01,7237.73,7200.32,7222.83,490.40887
1577878200,2020-01-01 11:30:00,7222.96,7234.57,7188.61,7197.2,586.550611
1577880000,2020-01-01 12:00:00,7197.2,7221.14,7196.15,7211.23,367.511543
1577881800,2020-01-01 12:30:00,7211.35,7233.33,7206.41,7225.59,501.242037
1577883600,2020-01-01 13:00:00,7225.84,7230.5,7212.88,7221.79,355.097766
1577885400,2020-01-01 13:30:00,7221.93,7231.89,7216.0,7221.2,257.083136
1577887200,2020-01-01 14:00:00,7221.17,7233.23,7208.17,7231.37,264.683631
1577889000,2020-01-01 14:30:00,7231.32,7234.97,7216.51,7221.43,353.030554
1577890800,2020-01-01 15:00:00,7221.6,7232.59,7218.29,7228.13,432.51688
1577892600,2020-01-01 15:30:00,7228.13,7255.0,7218.46,7234.19,961.371912
1577957400,2020-01-02 09:30:00,7145.35,7165.0,7135.36,7162.01,428.037264
1577959200,2020-01-02 10:00:00,7162.18,7178.36,7158.04,7177.14,821.349337
1577961000,2020-01-02 10:30:00,7177.24,7180.0,7153.33,7161.83,624.870647
1577962800,2020-01-02 11:00:00,7161.89,7168.67,7145.0,7149.51,415.335248
1577964600,2020-01-02 11:30:00,7149.58,7154.79,7139.03,7139.79,345.821322
1577966400,2020-01-02 12:00:00,7139.73,7163.4,7139.03,7157.41,484.657401
1577968200,2020-01-02 12:30:00,7157.08,7158.9,7142.49,7158.29,309.373096
1577970000,2020-01-02 13:00:00,7158.86,7163.35,7144.86,7146.73,309.454498
1577971800,2020-01-02 13:30:00,7147.46,7147.79,7107.43,7131.15,1256.826195
1577973600,2020-01-02 14:00:00,7131.18,7144.23,7122.34,7133.19,507.482952
1577975400,2020-01-02 14:30:00,7133.86,7157.1,7130.3,7135.59,448.817973
